Model,Make,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08U,rangeHwyA,RangeHwy,Range,city08U,UCity,UHighway
MKC AWD,Lincoln,2017,ICE,4.0,2.0,Automatic (S6),37365,4250.0,21.0,0.0,0.0,25.2823,0.0,0.0,0.0,19.1468,24.1,35.6
Forester AWD,Subaru,2017,ICE,4.0,2.0,Automatic (AV-S8),37367,3763.8888888888887,25.0,0.0,0.0,27.2277,0.0,0.0,0.0,23.0328,29.5,38.6
GranTurismo,Maserati,2017,ICE,8.0,4.7,Automatic 6-spd,37376,4625.0,16.0,0.0,0.0,20.656,0.0,0.0,0.0,12.937,15.9438,28.6291
GranTurismo Convertible,Maserati,2017,ICE,8.0,4.7,Automatic 6-spd,37377,4625.0,15.0,0.0,0.0,20.212,0.0,0.0,0.0,12.924,15.9275,27.996
ILX,Acura,2017,ICE,4.0,2.4,Automatic (AM-S8),37378,3375.0,29.0,0.0,0.0,34.8146,0.0,0.0,0.0,25.1342,32.5,50.7
Fusion AWD,Ford,2017,ICE,4.0,2.0,Automatic (S6),37381,3970.833333333333,23.0,0.0,0.0,28.6881,0.0,0.0,0.0,19.85,25.0633,40.879
Fusion FWD,Ford,2017,ICE,4.0,1.5,Automatic (S6),37382,3970.833333333333,27.0,0.0,0.0,33.5411,0.0,0.0,0.0,23.4107,30.0353,48.6231
Fusion Hybrid FWD,Ford,2017,HEV,4.0,2.0,Automatic (variable gear ratios),37383,3970.833333333333,42.0,0.0,0.0,41.2448,0.0,0.0,0.0,43.2495,60.9596,61.4833
Elantra,Hyundai,2017,ICE,4.0,1.4,Automatic (AM7),37384,3198.660714285714,35.0,0.0,0.0,39.8483,0.0,0.0,0.0,31.5612,41.4,58.8
Sorento FWD,Kia,2017,ICE,4.0,2.0,Automatic (S6),37391,4352.941176470588,23.0,0.0,0.0,27.0344,0.0,0.0,0.0,20.0221,25.3,38.3
Sorento FWD,Kia,2017,ICE,4.0,2.4,Automatic (S6),37392,4352.941176470588,24.0,0.0,0.0,28.3824,0.0,0.0,0.0,20.9249,26.5476,40.4
Sorento FWD,Kia,2017,ICE,6.0,3.3,Automatic (S6),37393,4352.941176470588,20.0,0.0,0.0,25.3451,0.0,0.0,0.0,17.7174,22.1602,35.6962
F-Pace,Jaguar,2017,ICE,6.0,3.0,Automatic (S8),37394,4562.5,20.0,0.0,0.0,23.4426,0.0,0.0,0.0,17.6728,22.1,32.8
Sorento AWD,Kia,2017,ICE,4.0,2.0,Automatic (S6),37395,4352.941176470588,22.0,0.0,0.0,25.478,0.0,0.0,0.0,19.2932,24.3,35.9
Sorento AWD,Kia,2017,ICE,4.0,2.4,Automatic (S6),37396,4352.941176470588,22.0,0.0,0.0,25.2823,0.0,0.0,0.0,20.5296,26.0,35.6
Sorento AWD,Kia,2017,ICE,6.0,3.3,Automatic (S6),37397,4352.941176470588,19.0,0.0,0.0,23.1778,0.0,0.0,0.0,16.8538,21.0,32.4
Sorento FE AWD,Kia,2017,ICE,6.0,3.3,Automatic (S6),37398,4352.941176470588,21.0,0.0,0.0,25.4128,0.0,0.0,0.0,17.821,22.3,35.8
XE,Jaguar,2017,ICE,4.0,2.0,Automatic (S8),37401,4140.625,24.0,0.0,0.0,30.4124,0.0,0.0,0.0,20.5296,26.0,43.6
Fusion FWD,Ford,2017,ICE,4.0,2.0,Automatic (S6),37402,3970.833333333333,25.0,0.0,0.0,31.103500000000004,0.0,0.0,0.0,20.9627,26.6,44.7
Ridgeline FWD,Honda,2017,ICE,6.0,3.5,Automatic 6-spd,37403,4625.0,22.0,0.0,0.0,26.3877,0.0,0.0,0.0,18.7066,23.5,37.2997
Ridgeline AWD,Honda,2017,ICE,6.0,3.5,Automatic 6-spd,37404,4625.0,21.0,0.0,0.0,24.7589,0.0,0.0,0.0,18.3753,23.0499,34.7997
Acadia FWD,GMC,2017,ICE,4.0,2.5,Automatic 6-spd,37405,4520.833333333334,23.0,0.0,0.0,25.7896,0.0,0.0,0.0,21.0,27.4,38.7
Acadia FWD,GMC,2017,ICE,6.0,3.6,Automatic 6-spd,37406,4520.833333333334,21.0,0.0,0.0,25.4128,0.0,0.0,0.0,18.117,22.7,35.8
Acadia AWD,GMC,2017,ICE,4.0,2.5,Automatic 6-spd,37407,4520.833333333334,23.0,0.0,0.0,24.9487,0.0,0.0,0.0,20.9266,26.5499,37.4494
Acadia AWD,GMC,2017,ICE,6.0,3.6,Automatic 6-spd,37408,4520.833333333334,20.0,0.0,0.0,24.8246,0.0,0.0,0.0,17.7469,22.2,34.9
Rio Eco,Kia,2017,ICE,4.0,1.6,Automatic (S6),37412,2854.166666666667,31.0,0.0,0.0,35.995,0.0,0.0,0.0,27.3306,35.6975,52.642
Rio,Kia,2017,ICE,4.0,1.6,Automatic (S6),37413,2854.166666666667,30.0,0.0,0.0,36.1068,0.0,0.0,0.0,26.6125,34.645,52.8268
Rio,Kia,2017,ICE,4.0,1.6,Manual 6-spd,37414,2854.166666666667,31.0,0.0,0.0,36.453,0.0,0.0,0.0,26.9917,35.2,53.4
