level_0,Model,Make,Year,AdjWeight,match_index,baseModel,displ,cylinders,trany,comb08,combinedUF,combE,highway08,city08,UCity,UHighway,atvType,rangeHwyA,RangeHwy,Range,MFRCode,VehicleID
81.0,Metro,Chevrolet,2000,2291.6666666666665,1970.0,metro,1.3,4.0,Automatic 3-spd,28,0.0,0.0,31,26,33.5415,44.0995,ICE,0.0,0.0,0,,81
82.0,Metro,Chevrolet,2000,2291.6666666666665,1970.0,metro,1.3,4.0,Manual 5-spd,34,0.0,0.0,38,31,40.283,54.2,ICE,0.0,0.0,0,,82
83.0,Montero,Mitsubishi,2000,2291.6666666666665,1970.0,montero,3.0,6.0,Automatic 4-spd,16,0.0,0.0,18,15,18.1837,25.3446,ICE,0.0,0.0,0,,83
84.0,Montero,Mitsubishi,2000,2291.6666666666665,1970.0,montero,3.0,6.0,Manual 5-spd,15,0.0,0.0,17,14,17.3,23.2,ICE,0.0,0.0,0,,84
85.0,Montero,Mitsubishi,2000,2291.6666666666665,1970.0,montero,3.5,6.0,Automatic 4-spd,16,0.0,0.0,18,14,17.3829,24.6972,ICE,0.0,0.0,0,,85
86.0,456 MGT/MGA,Ferrari,2000,4650.0,1783.0,456 mgt/mga,5.5,12.0,Automatic 4-spd,11,0.0,0.0,14,9,10.6991,19.1,ICE,0.0,0.0,0,,86
87.0,456 MGT/MGA,Ferrari,2000,4650.0,1783.0,456 mgt/mga,5.5,12.0,Manual 6-spd,11,0.0,0.0,15,9,10.9,20.6,ICE,0.0,0.0,0,,87
88.0,Escort ZX2,Ford,2000,2875.0,1799.0,escort,2.0,4.0,Automatic 4-spd,25,0.0,0.0,30,22,28.2,42.0,ICE,0.0,0.0,0,,88
89.0,Escort ZX2,Ford,2000,2875.0,1799.0,escort,2.0,4.0,Manual 5-spd,25,0.0,0.0,30,22,28.1308,41.8706,ICE,0.0,0.0,0,,89
90.0,Escort,Ford,2000,2875.0,1799.0,escort,2.0,4.0,Automatic 4-spd,26,0.0,0.0,31,22,28.4,43.5,ICE,0.0,0.0,0,,90
91.0,Escort,Ford,2000,2875.0,1799.0,escort,2.0,4.0,Manual 5-spd,27,0.0,0.0,32,24,30.5,45.0,ICE,0.0,0.0,0,,91
92.0,Mustang,Ford,2000,3697.6744186046512,1815.0,mustang,3.8,6.0,Automatic 4-spd,20,0.0,0.0,25,18,22.1156,35.1066,ICE,0.0,0.0,0,,92
93.0,Mustang,Ford,2000,3697.6744186046512,1815.0,mustang,3.8,6.0,Manual 5-spd,21,0.0,0.0,26,17,21.7684,36.8187,ICE,0.0,0.0,0,,93
94.0,Mustang,Ford,2000,3697.6744186046512,1815.0,mustang,4.6,8.0,Automatic 4-spd,18,0.0,0.0,22,16,19.3656,30.3974,ICE,0.0,0.0,0,,94
95.0,Mustang,Ford,2000,3697.6744186046512,1815.0,mustang,4.6,8.0,Manual 5-spd,18,0.0,0.0,23,15,19.0,31.6,ICE,0.0,0.0,0,,95
96.0,Mustang,Ford,2000,3697.6744186046512,1815.0,mustang,5.4,8.0,Manual 6-spd,14,0.0,0.0,17,12,14.3,23.3,ICE,0.0,0.0,0,,96
