Model_y,Make_y,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08U,rangeHwyA,RangeHwy,Range,city08U,UCity,UHighway,battery_assembly,battery_manufacture,vehicle_manufacture,total_embodied,usage,total
X2 sDrive28i,BMW,2023,ICE,4.0,2.0,Automatic (S8),45275,3937.5,27.0,0.0,0.0,31.7437,0.0,0.0,0.0,23.7794,30.5594,45.7238,0.0,60000.0,6194987.119811767,7763187.119811767,56257571.7517529,64020758.871564664
G90 MHEV,Genesis,2023,HEV,6.0,3.5,Automatic (S8),45283,5428.571428571428,20.0,0.0,0.0,24.4848,0.0,0.0,0.0,17.2531,22.7,35.0,0.0,60000.0,7618839.268784293,9187039.268784292,74618939.18358627,83805978.45237055
BRZ,Subaru,2023,ICE,4.0,2.4,Manual 6-spd,45288,3208.333333333333,22.0,0.0,0.0,26.8141,0.0,0.0,0.0,19.6187,24.7457,37.9587,0.0,60000.0,5047767.282809587,6615967.282809587,67194968.47876479,73810935.76157437
BRZ,Subaru,2023,ICE,4.0,2.4,Automatic (S6),45289,3208.333333333333,25.0,0.0,0.0,30.4299,0.0,0.0,0.0,21.2711,27.0287,43.6278,0.0,60000.0,5047767.282809587,6615967.282809587,60216417.24100707,66832384.52381665
Corvette,Chevrolet,2023,ICE,8.0,6.2,Automatic (S8),45293,3937.5,19.0,0.0,0.0,24.0,0.0,0.0,0.0,15.6411,19.1153,34.4882,0.0,60000.0,6194987.119811767,7763187.119811767,78276571.45454739,86039758.57435916
Elantra,Hyundai,2023,ICE,4.0,2.0,Automatic (AV-S1),45294,3339.798850574713,34.0,0.0,0.0,39.723,0.0,0.0,0.0,30.2833,38.3118,59.2671,0.0,60000.0,5254605.93322476,6822805.93322476,44656630.623111084,51479436.556335844
Elantra,Hyundai,2023,ICE,4.0,1.6,Automatic (AM-S7),45296,3339.798850574713,31.0,0.0,0.0,35.5409,0.0,0.0,0.0,28.0454,35.6,51.9,0.0,60000.0,5254605.93322476,6822805.93322476,49247814.398970395,56070620.332195155
Elantra Hybrid,Hyundai,2023,HEV,4.0,1.6,Automatic (AM-S6),45297,3339.798850574713,50.0,0.0,0.0,52.0663,0.0,0.0,0.0,49.2526,68.3,67.4,0.0,60000.0,4687308.800741971,6255508.800741971,31184956.496670727,37440465.29741269
Elantra Hybrid Blue,Hyundai,2023,HEV,4.0,1.6,Automatic (AM-S6),45298,3339.798850574713,54.0,0.0,0.0,55.5898,0.0,0.0,0.0,52.7058,72.8,72.3,0.0,60000.0,4687308.800741971,6255508.800741971,29179252.928608265,35434761.72935024
G80 AWD,Genesis,2023,ICE,4.0,2.5,Automatic (S8),45299,4666.666666666667,25.0,0.0,0.0,29.969,0.0,0.0,0.0,21.7782,27.736,42.7771,0.0,60000.0,7342206.956813946,8910406.956813946,60274381.21929114,69184788.17610508
G80 RWD,Genesis,2023,ICE,4.0,2.5,Automatic (S8),45300,4666.666666666667,26.0,0.0,0.0,31.7999,0.0,0.0,0.0,22.4984,28.7462,46.0749,0.0,60000.0,7342206.956813946,8910406.956813946,57368982.834028475,66279389.79084242
G80 AWD,Genesis,2023,ICE,6.0,3.5,Automatic (S8),45301,4666.666666666667,19.0,0.0,0.0,24.5411,0.0,0.0,0.0,16.3742,19.7212,31.3187,0.0,60000.0,7342206.956813946,8910406.956813946,75922571.62910275,84832978.5859167
Soul,Kia,2023,ICE,4.0,2.0,Automatic (variable gear ratios),45302,3250.0,30.0,0.0,0.0,33.4537,0.0,0.0,0.0,27.5306,35.9919,48.4813,0.0,60000.0,5113322.7020668555,6681522.7020668555,51454602.64863557,58136125.35070243
Soul Eco dynamics,Kia,2023,ICE,4.0,2.0,Automatic (variable gear ratios),45303,3250.0,31.0,0.0,0.0,35.1195,0.0,0.0,0.0,28.818,37.9,51.2,0.0,60000.0,5113322.7020668555,6681522.7020668555,49071013.11570112,55752535.81776797
Carnival,Kia,2023,ICE,6.0,3.5,Automatic (S8),45304,4875.0,22.0,0.0,0.0,26.1648,0.0,0.0,0.0,19.4122,24.4628,36.9558,0.0,60000.0,7669984.053100284,9238184.053100284,68502598.57572365,77740782.62882394
Encore GX FWD,Buick,2023,ICE,3.0,1.2,Automatic (variable gear ratios),45305,3437.5,30.0,0.0,0.0,30.8899,0.0,0.0,0.0,29.42,38.8,47.5,0.0,60000.0,5408322.08872456,6976522.08872456,52407591.59129753,59384113.68002209
Encore GX FWD,Buick,2023,ICE,3.0,1.3,Automatic (variable gear ratios),45306,3437.5,30.0,0.0,0.0,31.7115,0.0,0.0,0.0,28.5494,37.5,47.0,0.0,60000.0,5408322.08872456,6976522.08872456,52303584.63782772,59280106.72655228
Trailblazer FWD,Chevrolet,2023,ICE,3.0,1.2,Automatic (variable gear ratios),45307,3437.5,30.0,0.0,0.0,30.8899,0.0,0.0,0.0,29.42,38.8,47.5,0.0,60000.0,5408322.08872456,6976522.08872456,52407591.59129753,59384113.68002209
Trailblazer FWD,Chevrolet,2023,ICE,3.0,1.3,Automatic (variable gear ratios),45308,3437.5,31.0,0.0,0.0,32.7903,0.0,0.0,0.0,29.1476,38.392,49.5138,0.0,60000.0,5408322.08872456,6976522.08872456,50855371.49027072,57831893.57899528
Palisade FWD,Hyundai,2023,ICE,6.0,3.8,Automatic (S8),45309,4694.444444444444,22.0,0.0,0.0,26.5822,0.0,0.0,0.0,19.13,24.077,37.6,0.0,60000.0,7385910.569652125,8954110.569652123,68200085.15324356,77154195.72289568
Encore GX AWD,Buick,2023,ICE,3.0,1.3,Automatic 9-spd,45310,3437.5,27.0,0.0,0.0,28.5501,0.0,0.0,0.0,26.2388,34.1,44.6,0.0,60000.0,5408322.08872456,6976522.08872456,57586300.843529165,64562822.932253726
Trailblazer AWD,Chevrolet,2023,ICE,3.0,1.3,Automatic 9-spd,45311,3437.5,28.0,0.0,0.0,30.0,0.0,0.0,0.0,26.0,34.9,45.5,0.0,60000.0,5408322.08872456,6976522.08872456,56177304.96453901,63153827.05326357
Palisade AWD,Hyundai,2023,ICE,6.0,3.8,Automatic (S8),45312,4694.444444444444,21.0,0.0,0.0,24.79,0.0,0.0,0.0,18.7015,23.493,34.8473,0.0,60000.0,7385910.569652125,8954110.569652123,71845234.78838602,80799345.35803814
Vantage V8,Aston Martin,2023,ICE,8.0,4.0,Automatic 8-spd,45319,4000.0,20.0,0.0,0.0,24.4274,0.0,0.0,0.0,17.9972,22.5379,34.2945,0.0,60000.0,6293320.248697667,7861520.248697667,73568030.92439285,81429551.17309052
DB11 V8,Aston Martin,2023,ICE,8.0,4.0,Automatic 8-spd,45320,4500.0,20.0,0.0,0.0,24.1217,0.0,0.0,0.0,18.1323,22.7207,33.8295,0.0,60000.0,7079985.279784877,8648185.279784877,73936584.0476756,82584769.32746047
Kona FWD,Hyundai,2023,ICE,4.0,2.0,Automatic (AV-S1),45323,3677.777777777778,32.0,0.0,0.0,35.3644,0.0,0.0,0.0,29.5105,38.9357,51.60240000000001,0.0,60000.0,5786358.339774801,7354558.339774801,48401863.17536937,55756421.51514417
Kona AWD,Hyundai,2023,ICE,4.0,1.6,Automatic (AM-S7),45324,3677.777777777778,29.0,0.0,0.0,31.759200000000003,0.0,0.0,0.0,26.8545,34.9989,45.7486,0.0,60000.0,5786358.339774801,7354558.339774801,53607046.677078776,60961605.01685358
Kona AWD,Hyundai,2023,ICE,4.0,2.0,Automatic (AV-S1),45325,3677.777777777778,30.0,0.0,0.0,32.7778,0.0,0.0,0.0,27.6776,36.2087,47.3873,0.0,60000.0,5786358.339774801,7354558.339774801,51970444.88498562,59325003.22476042
iX M60 (21 inch wheels),BMW,2023,EV,,,Automatic (A1),45326,6000.0,77.0,0.0,43.5015,79.5799,0.0,296.1,288.0,75.8427,103.5,108.6,1636377.1926931299,5961100.353293944,8943684.262956602,17497161.808943674,34187171.31800328,51684333.126946956
iX M60 (22 inch wheels),BMW,2023,EV,,,Automatic (A1),45327,6000.0,78.0,0.0,42.99,80.4592,0.0,281.1,274.0,76.7953,104.8,109.8,1539817.219117267,5612885.9582712455,8943684.262956602,17052387.440345116,33791431.34234593,50843818.78269105
GV60 ADVANCE,Genesis,2023,EV,,,Automatic (A1),45328,5000.0,95.0,0.0,35.4988,86.45,0.0,223.9,248.0,103.25,147.5,123.5,1297122.528777328,4737680.822620012,7453070.219130502,14443873.570527839,28328026.181015104,42771899.75154294
GV60 PERFORMANCE,Genesis,2023,EV,,,Automatic (A1),45329,5000.0,90.0,0.0,36.8341,82.0,0.0,213.3,235.0,97.0,141.6,119.5,1295830.8917195122,4733022.92349245,7453070.219130502,14437924.034342462,30006960.46509555,44444884.49943801
Cooper SE Hardtop 2 door,MINI,2023,EV,,,Automatic (A1),45330,3530.208333333333,110.0,0.0,30.714,100.45,0.0,103.59999999999998,114.0,118.71999999999998,169.6,143.5,513155.7851707318,1910541.4269323125,5262178.119298598,8641875.33140164,24506128.481499102,33148003.812900744
Huracan Coupe,Lamborghini,2023,ICE,10.0,5.2,Automatic (AM-S7),45333,4062.5,15.0,0.0,0.0,17.87,0.0,0.0,0.0,12.9656,16.014,23.714,0.0,60000.0,6391653.37758357,7959853.37758357,101142691.51159863,109102544.8891822
Huracan Coupe 2WD,Lamborghini,2023,ICE,10.0,5.2,Automatic (AM-S7),45334,4062.5,15.0,0.0,0.0,17.9281,0.0,0.0,0.0,13.0465,16.0932,23.7934,0.0,60000.0,6391653.37758357,7959853.37758357,100703180.52198853,108663033.89957209
Huracan Spyder,Lamborghini,2023,ICE,10.0,5.2,Automatic (AM-S7),45335,4062.5,15.0,0.0,0.0,17.87,0.0,0.0,0.0,12.9656,16.014,23.714,0.0,60000.0,6391653.37758357,7959853.37758357,101142691.51159863,109102544.8891822
Huracan Spyder 2WD,Lamborghini,2023,ICE,10.0,5.2,Automatic (AM-S7),45336,4062.5,15.0,0.0,0.0,17.9281,0.0,0.0,0.0,13.0465,16.0932,23.7934,0.0,60000.0,6391653.37758357,7959853.37758357,100703180.52198853,108663033.89957209
Integra,Acura,2023,ICE,4.0,1.5,Automatic (AV-S7),45337,3406.25,33.0,0.0,0.0,37.295,0.0,0.0,0.0,29.8194,39.4,54.8,0.0,60000.0,5359155.524281609,6927355.524281609,46688896.10615431,53616251.630435914
Integra A-Spec,Acura,2023,ICE,4.0,1.5,Automatic (AV-S7),45338,3406.25,32.0,0.0,0.0,36.0827,0.0,0.0,0.0,29.0149,38.1938,52.7869,0.0,60000.0,5359155.524281609,6927355.524281609,48148770.64414252,55076126.16842413
Integra A-Spec,Acura,2023,ICE,4.0,1.5,Manual 6-spd,45339,3406.25,30.0,0.0,0.0,36.4458,0.0,0.0,0.0,26.0,35.4924,53.388,0.0,60000.0,5359155.524281609,6927355.524281609,49903623.194569,56830978.718850605
Crosstrek AWD,Subaru,2023,ICE,4.0,2.0,Automatic (AV-S8),45340,3701.0582010582007,30.0,0.0,0.0,33.423,0.0,0.0,0.0,27.542600000000004,36.0096,48.4315,0.0,60000.0,5822986.129582034,7391186.129582034,51473803.98624679,58864990.11582882
Crosstrek AWD,Subaru,2023,ICE,4.0,2.0,Manual 6-spd,45341,3701.0582010582007,25.0,0.0,0.0,28.9563,0.0,0.0,0.0,22.3944,28.600000000000005,41.3,0.0,60000.0,5822986.129582034,7391186.129582034,60922696.97342025,68313883.10300228
Crosstrek AWD,Subaru,2023,ICE,4.0,2.5,Automatic (AV-S8),45342,3701.0582010582007,29.0,0.0,0.0,33.6677,0.0,0.0,0.0,26.5526,34.5575,48.8286,0.0,60000.0,5822986.129582034,7391186.129582034,51999111.79398739,59390297.923569426
Camaro,Chevrolet,2023,ICE,6.0,3.6,Manual 6-spd,45343,4130.952380952381,20.0,0.0,0.0,26.1079,0.0,0.0,0.0,16.2971,20.2568,36.8682,0.0,60000.0,6499351.566363365,8067551.566363365,73028031.11043909,81095582.67680246
Camaro,Chevrolet,2023,ICE,4.0,2.0,Manual 6-spd,45344,4130.952380952381,22.0,0.0,0.0,28.2434,0.0,0.0,0.0,18.5376,23.2702,40.1825,0.0,60000.0,6499351.566363365,8067551.566363365,66351731.18878998,74419282.75515334
Camaro,Chevrolet,2023,ICE,4.0,2.0,Automatic (S8),45345,4130.952380952381,25.0,0.0,0.0,30.0,0.0,0.0,0.0,21.5376,27.4,43.8,0.0,60000.0,6499351.566363365,8067551.566363365,60484302.029022686,68551853.59538606
Camaro,Chevrolet,2023,ICE,8.0,6.2,Manual 6-spd,45346,4130.952380952381,16.0,0.0,0.0,19.6398,0.0,0.0,0.0,13.7554,16.9092,27.1235,0.0,60000.0,6499351.566363365,8067551.566363365,93233096.86660992,101300648.43297328
Camaro,Chevrolet,2023,ICE,8.0,6.2,Automatic (S10),45347,4130.952380952381,16.0,0.0,0.0,20.9721,0.0,0.0,0.0,12.8476,15.3054,27.0108,0.0,60000.0,6499351.566363365,8067551.566363365,91487245.23311432,99554796.79947768
Forte,Kia,2023,ICE,4.0,1.6,Manual 6-spd,45349,3257.3529411764707,26.0,0.0,0.0,31.1035,0.0,0.0,0.0,22.323,28.4996,44.7,0.0,60000.0,5124891.305465197,6693091.305465197,58345018.97170678,65038110.27717198
Forte,Kia,2023,ICE,4.0,1.6,Automatic (AM-S7),45350,3257.3529411764707,30.0,0.0,0.0,35.4891,0.0,0.0,0.0,27.0633,34.2,49.3,0.0,60000.0,5124891.305465197,6693091.305465197,49978720.71258639,56671812.01805159
