,VehicleID_x,Year_x,MFRCode,Make,Model,Range,RangeHwy,atvType,UHighway,UCity,city08U,highway08U,VehicleID_y,Year_y,CurbWeight
243,46272,2023,CRX,dodge,challenger awd,0,0.0,ICE,38.1,23.0,18.3385,26.9053,81,2023.0,4085.0
244,46277,2023,CRX,chrysler,300,0,0.0,ICE,43.1,23.9,19.0003,30.0971,78,2023.0,4375.0
245,46278,2023,CRX,chrysler,300,0,0.0,ICE,35.1989,19.8,15.9536,25.0202,78,2023.0,4375.0
246,46279,2023,CRX,chrysler,300,0,0.0,ICE,34.2974,18.1912,14.7354,24.4293,78,2023.0,4375.0
247,46283,2023,CRX,dodge,charger srt widebody,0,0.0,ICE,28.4,15.1,12.3581,20.5036,82,2023.0,4624.0
248,46285,2023,CRX,dodge,charger widebody,0,0.0,ICE,34.2974,18.1912,14.7354,24.4293,83,2023.0,4411.0
249,46335,2023,FMX,ford,mustang,0,0.0,ICE,42.1258,26.3418,20.7765,29.4808,120,2023.0,3854.496551724138
250,46336,2023,FMX,ford,mustang,0,0.0,ICE,31.5043,18.1516,14.7053,23.8439,120,2023.0,3854.496551724138
251,46337,2023,FMX,ford,mustang,0,0.0,ICE,46.6,27.5,21.6093,32.2893,120,2023.0,3854.496551724138
252,46340,2023,FMX,ford,mustang,0,0.0,ICE,34.2463,19.1494,15.4625,24.3958,120,2023.0,3854.496551724138
253,46343,2023,FMX,ford,mustang,0,0.0,ICE,44.0964,26.667,21.011,30.7247,120,2023.0,3854.496551724138
254,46361,2023,TYX,toyota,prius awd xle/ltd,0,0.0,HEV,69.3,71.0,49.0,50.0,400,2023.0,3310.0
255,46363,2023,HNX,honda,accord,0,0.0,ICE,55.7106,39.237,29.0,37.0,145,2023.0,3399.191304347826
256,46367,2023,FMX,ford,maverick awd,0,0.0,ICE,42.0,27.5,21.6093,28.0,114,2023.0,3866.0
257,46368,2023,FMX,ford,maverick tremor awd,0,0.0,ICE,36.1,24.9,19.7311,23.8419,115,2023.0,3866.0
258,46389,2023,FMX,ford,escape awd hev,0,0.0,HEV,52.5399,59.0616,42.1351,35.9332,100,2023.0,3770.0
259,46391,2023,TYX,lexus,rx 500h awd,0,0.0,HEV,40.0396,36.1324,27.0,28.152,231,2023.0,4750.0
260,46396,2023,FMX,lincoln,corsair awd,0,0.0,ICE,40.2717,26.5487,20.9257,28.3004,243,2023.0,3945.0
261,46409,2023,FMX,ford,explorer awd,0,0.0,ICE,38.5,25.8,20.3848,27.1633,103,2023.0,4431.0
262,46410,2023,FMX,ford,explorer awd,0,0.0,ICE,34.8,22.2,17.7469,24.0,103,2023.0,4431.0
263,46411,2023,FMX,ford,explorer awd,0,0.0,ICE,34.5022,22.0009,17.5992,24.0,103,2023.0,4431.0
264,46416,2023,FMX,ford,explorer awd,0,0.0,ICE,38.5,24.7,19.5853,26.0,103,2023.0,4431.0
265,46417,2023,FMX,ford,explorer timberline awd,0,0.0,ICE,35.2,23.6,18.7801,21.4515,105,2023.0,4583.0
266,46420,2023,FMX,ford,explorer timberline awd,0,0.0,ICE,35.2,24.2,19.22,22.3711,105,2023.0,4583.0
267,46424,2023,HNX,honda,pilot awd trailsport,0,0.0,ICE,32.0,22.6,18.0431,22.9126,153,2023.0,4721.0
