Unnamed: 0,alph_index,Material_x,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC,CH4,N2O,CO2,"CO2 (VOC, CO, CO2)",GHGs,Material_y,ICEV: Conventional Material,ICEV: Lightweight Material,HEV: Conventional Material,HEV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,EV: Conventional Material,EV: Lightweight Material,FCV: Conventional Material,FCV: Lightweight Material
13,am,Polypropylene,0.2610584194313519,0.5493062838723305,0.7913762694621962,0.07218939355027,0.0557580708789034,0.3520373415955239,0.005527734317992,0.0141158634654242,3.605366948214853,0.0138530542042486,668.3556327584906,670.0324604213273,781.2542792758899,Polypropylene,0.0,0.0,0.000584108407761,0.0005886,0.0007879238310578,0.0007395,0.0025132164171723,0.0028116,0.001593074940305,0.0016954074239555
14,an,Average Plastic,0.4616416309713358,2.4636396851903606,1.9927666702353173,0.5061372341693685,0.1386334734296557,4.326873301075395,0.0125189281147541,0.0269226949825796,8.22770763049393,0.1105092547953333,1358.0798570436807,1363.390073917888,1638.744787865733,Average Plastic,0.1529925623604106,0.1416110937322557,0.1215700063950974,0.1206853020852632,0.1175138751576608,0.1192289367844758,0.1290802409100458,0.1355989787203518,0.1323518741858307,0.1282253926175199
15,ao,Glass Fiber Composite Plastic,0.3495543304210814,1.4348587748200707,2.937070451980317,1.9543006019787723,0.4479489532300402,1.345066927359999,0.0146201032857633,0.0376996554376616,6.377106217736312,0.0538590173873547,1949.321236485369,1952.665458889899,2157.406735925189,Rubber,0.0391862088293826,0.0290534570533868,0.0327833448309878,0.0242780106038316,0.0314749431686023,0.023923583773474,0.0317299948203601,0.0240433989167817,0.0358649386778217,0.0259977024556931
16,ap,Carbon Fiber Composite Plastic for General Use,1.637294491395411,4.034183055079476,5.8470830701310605,3.0611136626148068,0.6223372037590643,3.2410321137321176,0.0343647988668583,0.0930236250143203,18.55890805430923,0.1293197146177815,5163.459243868834,5174.901575548809,5763.261317657879,Carbon Fiber-Reinforced Plastic for High Pressure Vessels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0568915013839875,0.0465002974095722
17,aq,Carbon Fiber Composite Plastic for High Pressure Vessels,2.906900888552457,5.6807953947149405,7.435959771995167,1.9810672613070195,0.6361549465514226,4.756749308439229,0.0417755386067717,0.1313236214837643,26.841143653633168,0.1680340015926676,7608.965889586245,7626.952694880595,8472.692058193661,Glass Fiber-Reinforced Plastic,0.0086970511755816,0.01794,0.0041456022664972,0.01911,0.0039355038378964,0.02048,0.0046563865663511,0.025896,0.0105413218892256,0.0272916590584426
18,ar,Rubber,2.8605108342511505,1.0519189126397173,2.244667859111735,0.3177650900910233,0.1863208827540678,1.2578711321446427,0.0168108133057889,0.0284436551784387,3.5441350126361453,0.0415090350064548,1643.670393046253,1654.2386672471498,1771.1858571804692,Carbon Fiber-Reinforced Plastic for General Use,0.0,0.1608497740253332,0.0,0.1545895341486594,0.0,0.1476008720699574,0.0,0.1787069423186256,0.0,0.20001799338937
19,as,Platinum,4.819826520798464,21.47507059891055,45.25331398840595,8.313471840326143,3.6436606645973417,57.284360477160185,0.1721885176947917,0.3003014353578538,86.56379256280651,1.1629357124896649,54439.99165404313,54488.75998621219,57385.84245409351,Platinum,3.068734644628288e-06,8.584921573870453e-06,4.502617801047122e-06,5.12882032913061e-06,4.775417826601726e-06,5.3152632301348015e-06,0.0,0.0,1.463294948020206e-05,1.1845384320435831e-05
20,bc,Carbon Paper,12.074579830169498,21.06760336977777,25.533480622132597,3.0772339819864247,1.8677284405035328,17.639046330656836,0.1374231419536375,0.484612311227714,101.64230370479343,0.5903700745217021,28602.423069404973,28673.161743742465,31863.273424489733,Carbon Paper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017724417680244,0.0014347930303626
21,bd,Nafion117 Sheet,0.0876817334800987,0.3441934389589337,0.5293360352699575,0.0516480932371603,0.0346405863328855,0.261114526133586,0.0034576554771321,0.0112597019912107,1.4970282432717268,0.0144153258302608,563.0483607982658,563.8625109383571,612.4093365395157,PFSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005133624534346,0.0004155673170909
22,be,Nafion Dry Polymer,0.085841957354703,0.3369714230796717,0.5182292772104545,0.0505643905651379,0.0339137425402794,0.2556357080022859,0.0033851054516686,0.0110234460450711,1.4656169479916272,0.0141128572173617,550.4371688275133,551.2342361165846,598.7624311870749,Carbon & PFSA Suspension,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
