,alph_index,Material,     VOC,     CO,     NOx ,     PM10,     PM2.5,     SOx,     BC,     OC,     CH4,     N2O,     CO2,"     CO2 (VOC, CO, CO2)",     GHGs
24,y,Refined Nickel,3.8973003416141347,9.212395790726607,9.919628387161357,1.13052657260316,0.7830359706624177,24.522230461160405,0.06747990557776481,0.15720427171129903,41.197763080759906,0.3680706884833954,8313.642139454822,8340.265347476374,9668.441985238986
25,z,Virgin Cobalt Oxide,2.211369333434735,6.09454111318752,9.591862779622238,22.780541452697147,2.8655499535404596,24.058168100704677,0.1353671753716683,0.176621792684791,20.219649329639257,0.1745174572504928,7517.980521942638,7534.449759066851,8184.638574919485
26,aa,Virgin Cobalt Chloride,0.7610035706579767,2.674586354872077,4.777138132382709,13.097804232352011,1.6144105089705623,13.638809454090374,0.0727362884126937,0.08745444560082799,8.349633006960481,0.08195397087328371,3466.1133153771602,3472.6880312538433,3743.880528909672
27,ab,Virgin Cobalt Metal,1.767509612852809,6.256022114113747,11.322795152721408,29.01830201811587,3.630861126505475,31.072769433434782,0.16358804779319303,0.1996932753655763,20.0775592375032,0.20577902650432797,8657.943828335872,8673.283458522872,9327.772398036148
28,ac,Copper,0.47308000929051147,1.361152422259786,2.0230057692539445,0.3662744661474879,0.24259984981226615,2.1394760071290326,0.010650064916352633,0.03375746230820957,4.203169163525115,0.46082211976751397,1782.0037543739084,1785.6171408759385,2036.6760206455183
29,ad,Zinc,0.14071999265616986,0.5540892243735022,0.9160718766902625,0.9475636387864215,0.48073047899885035,0.7401324169873381,0.004101514495358729,0.018654491462819632,2.455785279587481,0.023253759465408686,1155.8771899405222,1157.1864788892683,1236.7171565550318
30,ae,Virgin Magnesium,1.0861784068071176,4.478547472752452,6.586968615837441,0.602369737770982,0.4200831233283269,2.9166123332718827,0.05039601491416406,0.13962322948478492,18.43464171388941,0.17750648119369855,7607.769390940953,7618.192364432685,17489.883956872472
31,af,Recycled Magnesium,0.06847776267729692,0.27230341794385443,0.40882221213409475,0.03638748527195785,0.025617978382072557,0.17600612249636657,0.0028147147605481542,0.008707561924820688,1.1607077334501916,0.011184873240269066,418.4559989370615,419.09732666846037,11796.73988751987
32,ag,Average Magnesium,0.555956371215481,2.2870943201971725,3.368154339507998,0.30749298421899046,0.21456678281132838,1.4887564974578387,0.02560615753413017,0.07141616668604356,9.434922110080576,0.09085292344996179,3862.137113706925,3867.463849757524,14523.755896739767
33,ah,Sulfuric Acid,0.008264414188356408,0.01880629951232982,0.1454404231774867,0.009740285218511061,0.008814026211301387,0.9761075634032264,0.0012544735152012455,0.0037055199656416365,0.029236210822540798,0.00045885308173835573,18.938441791362994,18.993751971959888,19.990257945786176
34,ai,Glass,0.11127557123698223,0.4812070449157292,1.013502399415496,0.05964632204094769,0.045048268327432944,0.4178839574509354,0.005293961165890076,0.013614025291621186,1.779072086338896,0.01650136247834871,731.9912533742951,733.094244737137,790.6154648666253
35,aj,Fiber Glass,0.12736066363236132,0.4905511546801943,1.8530259388997423,0.698146026175557,0.36552108044656484,0.7158409349268462,0.006029908176182442,0.01635901773423936,1.9667713992255826,0.018663163016009322,779.7880706276476,780.955877462847,844.6607086631399
36,ak,High-Density Polyethylene,0.40526597198055614,0.7706760342548663,1.0999958782347725,0.08403966251415022,0.06206176220042436,0.5337592521212473,0.005531549821010893,0.01954286624348062,4.494051531192859,0.018510361586657333,817.5516258554752,820.0257671410246,959.0018314837293
37,al,Polyethylene Terephthalate,0.512242203529141,0.7638567081947112,1.1252934304399802,0.08946413288852634,0.06667554686204456,0.45199862483016345,0.0080220384026803,0.021884351084601454,4.163728005301893,0.024218143576006,969.8676739857497,972.6645084424833,1103.3551561967295
38,am,Polypropylene,0.26105841943135194,0.5493062838723305,0.7913762694621962,0.07218939355027003,0.05575807087890345,0.3520373415955239,0.005527734317992079,0.01411586346542427,3.6053669482148534,0.013853054204248677,668.3556327584906,670.0324604213273,781.2542792758899
39,an,Average Plastic,0.46164163097133587,2.4636396851903606,1.9927666702353173,0.5061372341693685,0.1386334734296557,4.326873301075395,0.012518928114754134,0.026922694982579688,8.22770763049393,0.11050925479533333,1358.0798570436807,1363.390073917888,1638.744787865733
40,ao,Glass Fiber Composite Plastic,0.3495543304210814,1.4348587748200707,2.937070451980317,1.9543006019787723,0.4479489532300402,1.345066927359999,0.014620103285763308,0.03769965543766168,6.377106217736312,0.05385901738735472,1949.321236485369,1952.6654588898987,2157.406735925189
41,ap,Carbon Fiber Composite Plastic for General Use,1.637294491395411,4.034183055079476,5.8470830701310605,3.0611136626148068,0.6223372037590643,3.2410321137321176,0.03436479886685836,0.09302362501432031,18.55890805430923,0.12931971461778152,5163.459243868834,5174.901575548809,5763.261317657879
42,aq,Carbon Fiber Composite Plastic for High Pressure Vessels,2.906900888552457,5.6807953947149405,7.435959771995167,1.9810672613070193,0.6361549465514226,4.756749308439229,0.04177553860677172,0.1313236214837643,26.841143653633168,0.16803400159266765,7608.965889586245,7626.952694880595,8472.692058193661
43,ar,Rubber,2.8605108342511505,1.0519189126397173,2.244667859111735,0.31776509009102333,0.1863208827540678,1.2578711321446427,0.016810813305788992,0.02844365517843877,3.5441350126361453,0.04150903500645484,1643.6703930462527,1654.2386672471498,1771.1858571804692
44,as,Platinum,4.819826520798464,21.47507059891055,45.25331398840595,8.313471840326143,3.6436606645973417,57.284360477160185,0.17218851769479174,0.3003014353578538,86.56379256280651,1.1629357124896647,54439.99165404313,54488.75998621219,57385.84245409351
45,at,Vanadium,0,0,0,0,0,0,0,0,0,0,0,0,0
46,au,Zirconium,0.9398151247403089,3.785401260016265,5.551212234145547,0.4508274718867091,0.33439230691116417,2.0486788571571033,0.04013433054642334,0.11837407355908638,15.818948233936657,0.15254239284309323,5471.590226270312,5480.46780443673,5993.5165350542065
47,av,Titanium,3.1700760907245895,12.11599731504728,24.289981246253085,2.79732369694846,1.5573030190367454,22.028823082193114,0.11262940476997232,0.3476762094954923,53.8320589118716,0.4291348752698871,23358.025134257266,23386.944629092242,25108.293805614696
48,aw,Chromium,0,0,0,0,0,0,0,0,0,0,0,0,0
49,ax,Rare Earth (Ni-MH),5.852029779336779,35.80548127312219,15.665425566991285,34.77286693482952,5.234632887435639,28.392509089796697,0.09423098347102538,0.23609314232637527,54.47974249175873,5.418774175116785,17238.11080918334,17312.615391615276,20415.437067676572
50,ay,Final Manganese,0.07858821605527269,0.40919797522606144,0.5444430231520669,2.405431172161495,1.204468494214734,0.37893349289557465,0.0020419376447539986,0.009291132149845146,1.280079564940174,0.011534342379144179,642.1261305153625,643.0140891783758,684.3093356830993
51,az,Manganese,0.4723095344333015,2.38860983162349,5.255639012586071,1.5902467837425236,0.8544645339676701,3.021281439502922,0.03930207505893476,0.06139791942785054,7.5680572242492365,0.09156119003790097,3704.106488596125,3709.332049713851,3959.8563598768255
52,ba,Thermal Insulation,0.12736066363236132,0.4905511546801943,1.8530259388997423,0.698146026175557,0.36552108044656484,0.7158409349268462,0.006029908176182442,0.01635901773423936,1.9667713992255826,0.018663163016009322,779.7880706276476,780.955877462847,844.6607086631399
53,bb,Carbon Fiber,3.449879951476999,6.019315248507935,7.295280177752169,0.8792097091389784,0.5336366972867236,5.03972752304481,0.03926375484389645,0.13846066035077542,29.040658201369556,0.16867716414905773,8172.120876972849,8192.331926783561,9103.792406997067
54,bc,Carbon Paper,12.074579830169498,21.06760336977777,25.533480622132593,3.0772339819864247,1.8677284405035326,17.639046330656836,0.13742314195363758,0.484612311227714,101.64230370479345,0.5903700745217021,28602.423069404973,28673.161743742465,31863.273424489733
55,bd,Nafion117 Sheet,0.08768173348009876,0.3441934389589337,0.5293360352699575,0.05164809323716031,0.03464058633288551,0.261114526133586,0.003457655477132198,0.011259701991210708,1.4970282432717268,0.014415325830260839,563.0483607982658,563.8625109383571,612.4093365395157
56,be,Nafion Dry Polymer,0.08584195735470308,0.3369714230796717,0.5182292772104545,0.05056439056513791,0.03391374254027942,0.25563570800228597,0.0033851054516686246,0.011023446045071121,1.4656169479916272,0.014112857217361743,550.4371688275133,551.2342361165846,598.7624311870749
57,bf,PTFE,0.433174915213633,2.1286654586676512,4.738855201922599,0.7009117858381154,0.40430431039873904,2.7828033556811613,0.03526127641438277,0.05686983853505521,7.008959487848304,0.08424089891744249,3413.021808099307,3417.716915639153,3649.581673781494
58,bg,LiMn2O4,0.9834299212986923,1.272617477448188,2.138320403215537,2.4075646910195547,1.5900782504407682,0.9616770449800506,0.1289167618431249,0.3300239350923031,2.96874033610822,0.02127697365773765,1469.6437631196457,1474.7086138389213,1568.9856896635088
