Model,Make,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08,rangeHwyA,RangeHwy,Range,city08,UCity,UHighway,battery_assembly,battery_manufacture,vehicle_manufacture,total_embodied,usage,total
Metro,Chevrolet,2000,ICE,4.0,1.3,Manual 5-spd,38,2291.6666666666665,34.0,0.0,0.0,38.0,0.0,0.0,0.0,31.0,40.283,54.2,0.0,60000.0,3605548.059149706,5173748.059149706,57682249.4609141,62855997.5200638
Escort ZX2,Ford,2000,ICE,4.0,2.0,Automatic 4-spd,39,2875.0,25.0,0.0,0.0,30.0,0.0,0.0,0.0,22.0,28.2,42.0,0.0,60000.0,4523323.92875145,6091523.92875145,76144939.15579002,82236463.08454147
Escort ZX2,Ford,2000,ICE,4.0,2.0,Manual 5-spd,40,2875.0,25.0,0.0,0.0,30.0,0.0,0.0,0.0,22.0,28.1308,41.8706,0.0,60000.0,4523323.92875145,6091523.92875145,76144939.15579002,82236463.08454147
Mustang,Ford,2000,ICE,6.0,3.8,Automatic 4-spd,41,3697.6744186046512,20.0,0.0,0.0,25.0,0.0,0.0,0.0,18.0,22.1156,35.1066,0.0,60000.0,5817662.322924009,7385862.322924009,92001207.95024513,99387070.27316913
Mustang,Ford,2000,ICE,6.0,3.8,Manual 5-spd,42,3697.6744186046512,21.0,0.0,0.0,26.0,0.0,0.0,0.0,17.0,21.7684,36.8187,0.0,60000.0,5817662.322924009,7385862.322924009,91582068.05069959,98967930.3736236
Mustang,Ford,2000,ICE,8.0,4.6,Automatic 4-spd,43,3697.6744186046512,18.0,0.0,0.0,22.0,0.0,0.0,0.0,16.0,19.3656,30.3974,0.0,60000.0,5817662.322924009,7385862.322924009,104156807.96439669,111542670.28732069
Mustang,Ford,2000,ICE,8.0,4.6,Manual 5-spd,44,3697.6744186046512,18.0,0.0,0.0,23.0,0.0,0.0,0.0,15.0,19.0,31.6,0.0,60000.0,5817662.322924009,7385862.322924009,103619917.20169362,111005779.52461763
Mustang,Ford,2000,ICE,8.0,5.4,Manual 6-spd,45,3697.6744186046512,14.0,0.0,0.0,17.0,0.0,0.0,0.0,12.0,14.3,23.3,0.0,60000.0,5817662.322924009,7385862.322924009,136286535.16697326,143672397.48989728
Civic,Honda,2000,ICE,4.0,1.6,Automatic 4-spd,46,2757.8125,27.0,0.0,0.0,32.0,0.0,0.0,0.0,24.0,30.6,44.4,0.0,60000.0,4338949.312090385,5907149.312090385,70782619.49693154,76689768.80902192
Civic,Honda,2000,ICE,4.0,1.6,Manual 5-spd,47,2757.8125,30.0,0.0,0.0,33.0,0.0,0.0,0.0,27.0,35.06,46.9023,0.0,60000.0,4338949.312090385,5907149.312090385,66344105.40306455,72251254.71515493
Civic HX,Honda,2000,ICE,4.0,1.6,Automatic (variable gear ratios),48,2757.8125,31.0,0.0,0.0,35.0,0.0,0.0,0.0,29.0,37.4895,48.9549,0.0,60000.0,4338949.312090385,5907149.312090385,62236111.26045995,68143260.57255034
Civic HX,Honda,2000,ICE,4.0,1.6,Manual 5-spd,49,2757.8125,33.0,0.0,0.0,39.0,0.0,0.0,0.0,30.0,38.6946,55.0218,0.0,60000.0,4338949.312090385,5907149.312090385,57517207.25930918,63424356.57139956
Prelude,Honda,2000,ICE,4.0,2.2,Automatic 4-spd,50,3375.0,21.0,0.0,0.0,24.0,0.0,0.0,0.0,19.0,23.2931,33.9482,0.0,60000.0,5309988.959838658,6878188.959838658,92424202.00978649,99302390.96962515
Prelude,Honda,2000,ICE,4.0,2.2,Manual 5-spd,51,3375.0,22.0,0.0,0.0,25.0,0.0,0.0,0.0,20.0,24.7,34.3,0.0,60000.0,5309988.959838658,6878188.959838658,88361599.72364204,95239788.6834807
Tiburon,Hyundai,2000,ICE,4.0,2.0,Automatic 4-spd,52,3062.5,22.0,0.0,0.0,28.0,0.0,0.0,0.0,19.0,23.9608,38.6472,0.0,60000.0,4818323.315409152,6386523.315409152,83934296.18842822,90320819.50383738
Tiburon,Hyundai,2000,ICE,4.0,2.0,Manual 5-spd,53,3062.5,24.0,0.0,0.0,29.0,0.0,0.0,0.0,21.0,26.105,40.6658,0.0,60000.0,4818323.315409152,6386523.315409152,79142771.40601796,85529294.72142711
SC,Lexus,2000,ICE,6.0,3.0,Automatic 4-spd,54,3390.625,19.0,0.0,0.0,22.0,0.0,0.0,0.0,17.0,20.7499,30.1225,0.0,60000.0,5334572.242060133,6902772.242060133,101783614.87153703,108686387.11359717
SC,Lexus,2000,ICE,8.0,4.0,Automatic 5-spd,55,3390.625,19.0,0.0,0.0,23.0,0.0,0.0,0.0,16.0,20.4467,31.7186,0.0,60000.0,5334572.242060133,6902772.242060133,101270851.06865774,108173623.31071788
Sunfire,Pontiac,2000,ICE,4.0,2.2,Automatic 3-spd,56,3312.5,22.0,0.0,0.0,26.0,0.0,0.0,0.0,20.0,25.1,36.9,0.0,60000.0,5211655.830952757,6779855.830952757,86275810.88896377,93055666.71991654
Sunfire,Pontiac,2000,ICE,4.0,2.2,Automatic 4-spd,57,3312.5,23.0,0.0,0.0,29.0,0.0,0.0,0.0,20.0,25.7476,40.0,0.0,60000.0,5211655.830952757,6779855.830952757,80570196.14079584,87350051.9717486
Sunfire,Pontiac,2000,ICE,4.0,2.2,Manual 5-spd,58,3312.5,24.0,0.0,0.0,31.0,0.0,0.0,0.0,21.0,26.5,43.4,0.0,60000.0,5211655.830952757,6779855.830952757,75857599.76274928,82637455.59370205
Sunfire,Pontiac,2000,ICE,4.0,2.4,Automatic 4-spd,59,3312.5,23.0,0.0,0.0,28.0,0.0,0.0,0.0,19.0,24.5,39.1,0.0,60000.0,5211655.830952757,6779855.830952757,83934296.18842822,90714152.01938099
Sunfire,Pontiac,2000,ICE,4.0,2.4,Manual 5-spd,60,3312.5,24.0,0.0,0.0,30.0,0.0,0.0,0.0,20.0,25.1,42.5,0.0,60000.0,5211655.830952757,6779855.830952757,78832407.59658259,85612263.42753536
SC,Saturn,2000,ICE,4.0,1.9,Automatic 4-spd,61,3390.625,27.0,0.0,0.0,33.0,0.0,0.0,0.0,23.0,29.6014,46.6121,0.0,60000.0,5334572.242060133,6902772.242060133,70534259.42852126,77437031.6705814
SC,Saturn,2000,ICE,4.0,1.9,Manual 5-spd,62,3390.625,29.0,0.0,0.0,36.0,0.0,0.0,0.0,25.0,31.5068,51.302,0.0,60000.0,5334572.242060133,6902772.242060133,64741590.77980213,71644363.02186227
Esteem,Suzuki,2000,ICE,4.0,1.6,Automatic 4-spd,63,2687.5,26.0,0.0,0.0,31.0,0.0,0.0,0.0,24.0,30.2,43.4,0.0,60000.0,4228324.542093746,5796524.542093746,72180480.92326234,77977005.46535608
Esteem,Suzuki,2000,ICE,4.0,1.6,Manual 5-spd,64,2687.5,29.0,0.0,0.0,33.0,0.0,0.0,0.0,26.0,33.6,47.1,0.0,60000.0,4228324.542093746,5796524.542093746,67344267.79607558,73140792.33816934
Esteem,Suzuki,2000,ICE,4.0,1.8,Automatic 4-spd,65,2687.5,26.0,0.0,0.0,30.0,0.0,0.0,0.0,23.0,28.8,42.5,0.0,60000.0,4228324.542093746,5796524.542093746,74868766.99116781,80665291.53326157
Esteem,Suzuki,2000,ICE,4.0,1.8,Manual 5-spd,66,2687.5,27.0,0.0,0.0,32.0,0.0,0.0,0.0,24.0,31.4,44.4,0.0,60000.0,4228324.542093746,5796524.542093746,70782619.49693154,76579144.03902528
Camry Solara Convertible,Toyota,2000,ICE,4.0,2.2,Automatic 4-spd,67,3639.5833333333335,23.0,0.0,0.0,28.0,0.0,0.0,0.0,20.0,25.2733,39.0956,0.0,60000.0,5726265.872122306,7294465.872122306,82386327.61118262,89680793.48330492
Camry Solara Convertible,Toyota,2000,ICE,6.0,3.0,Automatic 4-spd,68,3639.5833333333335,19.0,0.0,0.0,24.0,0.0,0.0,0.0,17.0,20.9,33.4673,0.0,60000.0,5726265.872122306,7294465.872122306,96413735.9094895,103708201.7816118
Celica,Toyota,2000,ICE,4.0,1.8,Automatic 4-spd,69,2900.0,26.0,0.0,0.0,31.0,0.0,0.0,0.0,23.0,29.8,44.2,0.0,60000.0,4562657.180305811,6130857.180305811,73365926.77784146,79496783.95814727
Celica,Toyota,2000,ICE,4.0,1.8,Manual 5-spd,70,2900.0,27.0,0.0,0.0,31.0,0.0,0.0,0.0,24.0,30.6,43.2,0.0,60000.0,4562657.180305811,6130857.180305811,72180480.92326234,78311338.10356815
Celica,Toyota,2000,ICE,4.0,1.8,Manual 6-spd,71,2900.0,23.0,0.0,0.0,29.0,0.0,0.0,0.0,20.0,25.7,40.5,0.0,60000.0,4562657.180305811,6130857.180305811,80570196.14079584,86701053.32110165
Cabrio,Volkswagen,2000,ICE,4.0,2.0,Automatic 4-spd,72,3187.5,22.0,0.0,0.0,26.0,0.0,0.0,0.0,19.0,24.4999,35.6731,0.0,60000.0,5014989.573180954,6583189.573180954,87974896.88021252,94558086.45339347
Cabrio,Volkswagen,2000,ICE,4.0,2.0,Manual 5-spd,73,3187.5,24.0,0.0,0.0,28.0,0.0,0.0,0.0,21.0,26.7103,39.2215,0.0,60000.0,5014989.573180954,6583189.573180954,80894422.28220749,87477611.85538845
C70 Convertible,Volvo,2000,ICE,5.0,2.3,Automatic 4-spd,74,3841.666666666667,19.0,0.0,0.0,23.0,0.0,0.0,0.0,17.0,20.6627,31.8843,0.0,60000.0,6044209.655520053,7612409.655520053,99025930.72477123,106638340.38029128
C70 Convertible,Volvo,2000,ICE,5.0,2.3,Manual 5-spd,75,3841.666666666667,20.0,0.0,0.0,24.0,0.0,0.0,0.0,18.0,22.0837,33.3974,0.0,60000.0,6044209.655520053,7612409.655520053,94376825.99590872,101989235.65142877
C70 Convertible,Volvo,2000,ICE,5.0,2.4,Automatic 4-spd,76,3841.666666666667,19.0,0.0,0.0,24.0,0.0,0.0,0.0,17.0,21.0033,33.3517,0.0,60000.0,6044209.655520053,7612409.655520053,96413735.9094895,104026145.56500955
A4,Audi,2000,ICE,4.0,1.8,Automatic 5-spd,77,3610.4166666666665,21.0,0.0,0.0,28.0,0.0,0.0,0.0,18.0,22.8472,38.5499,0.0,60000.0,5680377.078642219,7248577.078642219,85541548.66863218,92790125.7472744
A4,Audi,2000,ICE,4.0,1.8,Manual 5-spd,78,3610.4166666666665,24.0,0.0,0.0,29.0,0.0,0.0,0.0,21.0,27.0,40.9,0.0,60000.0,5680377.078642219,7248577.078642219,79142771.40601796,86391348.48466018
A4,Audi,2000,ICE,6.0,2.8,Automatic 5-spd,79,3610.4166666666665,19.0,0.0,0.0,24.0,0.0,0.0,0.0,16.0,19.9413,33.4928,0.0,60000.0,5680377.078642219,7248577.078642219,98540509.49572822,105789086.57437044
A4,Audi,2000,ICE,6.0,2.8,Manual 5-spd,80,3610.4166666666665,21.0,0.0,0.0,26.0,0.0,0.0,0.0,18.0,22.3,36.8,0.0,60000.0,5680377.078642219,7248577.078642219,89742249.71932393,96990826.79796615
A4 quattro,Audi,2000,ICE,4.0,1.8,Automatic 5-spd,81,3610.4166666666665,20.0,0.0,0.0,26.0,0.0,0.0,0.0,17.0,21.5834,36.0494,0.0,60000.0,5680377.078642219,7248577.078642219,91582068.05069959,98830645.12934181
A4 quattro,Audi,2000,ICE,4.0,1.8,Manual 5-spd,82,3610.4166666666665,22.0,0.0,0.0,26.0,0.0,0.0,0.0,19.0,24.1789,36.8279,0.0,60000.0,5680377.078642219,7248577.078642219,87974896.88021252,95223473.95885473
A4 quattro,Audi,2000,ICE,6.0,2.8,Automatic 5-spd,83,3610.4166666666665,18.0,0.0,0.0,23.0,0.0,0.0,0.0,16.0,19.4701,32.3437,0.0,60000.0,5680377.078642219,7248577.078642219,101270851.06865774,108519428.14729996
A4 quattro,Audi,2000,ICE,6.0,2.8,Manual 5-spd,84,3610.4166666666665,19.0,0.0,0.0,23.0,0.0,0.0,0.0,16.0,20.4603,31.7186,0.0,60000.0,5680377.078642219,7248577.078642219,101270851.06865774,108519428.14729996
S4,Audi,2000,ICE,6.0,2.7,Automatic 5-spd,85,4000.0,18.0,0.0,0.0,22.0,0.0,0.0,0.0,15.0,19.1201,30.3657,0.0,60000.0,6293320.248697667,7861520.248697667,106643310.01129209,114504830.25998975
S4,Audi,2000,ICE,6.0,2.7,Manual 6-spd,86,4000.0,18.0,0.0,0.0,22.0,0.0,0.0,0.0,15.0,19.1499,30.5937,0.0,60000.0,6293320.248697667,7861520.248697667,106643310.01129209,114504830.25998975
Continental R,Bentley,2000,ICE,8.0,6.7,Automatic 4-spd,87,4250.0,12.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,12.4896,20.4167,0.0,60000.0,6686652.7642412735,8254852.7642412735,157664815.19316518,165919667.95740646
Sebring,Chrysler,2000,ICE,6.0,2.5,Automatic 4-spd,88,3750.0,20.0,0.0,0.0,25.0,0.0,0.0,0.0,17.0,21.4275,35.1143,0.0,60000.0,5899987.733154065,7468187.733154065,93935812.79032038,101404000.52347444
Sebring Convertible,Chrysler,2000,ICE,6.0,2.5,Automatic 4-spd,89,3750.0,20.0,0.0,0.0,25.0,0.0,0.0,0.0,17.0,21.6,34.9,0.0,60000.0,5899987.733154065,7468187.733154065,93935812.79032038,101404000.52347444
Lanos,Daewoo,2000,ICE,4.0,1.5,Automatic 4-spd,90,2812.5,25.0,0.0,0.0,33.0,0.0,0.0,0.0,21.0,26.5,46.8,0.0,60000.0,4424990.799865548,5993190.799865548,72834289.6272774,78827480.42714295
Lanos,Daewoo,2000,ICE,4.0,1.5,Manual 5-spd,91,2812.5,26.0,0.0,0.0,32.0,0.0,0.0,0.0,23.0,29.1,45.8,0.0,60000.0,4424990.799865548,5993190.799865548,71922232.333197,77915423.13306254
Lanos,Daewoo,2000,ICE,4.0,1.6,Automatic 4-spd,92,2812.5,24.0,0.0,0.0,31.0,0.0,0.0,0.0,20.0,25.5,43.0,0.0,60000.0,4424990.799865548,5993190.799865548,77167999.7586509,83161190.55851644
Lanos,Daewoo,2000,ICE,4.0,1.6,Manual 5-spd,93,2812.5,26.0,0.0,0.0,33.0,0.0,0.0,0.0,23.0,28.7,46.3,0.0,60000.0,4424990.799865548,5993190.799865548,70534259.42852126,76527450.2283868
Nubira,Daewoo,2000,ICE,4.0,2.0,Automatic 4-spd,94,3250.0,22.0,0.0,0.0,28.0,0.0,0.0,0.0,19.0,24.4,38.4615,0.0,60000.0,5113322.7020668555,6681522.7020668555,83934296.18842822,90615818.89049508
