Model_y,Make_y,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08U,rangeHwyA,RangeHwy,Range,city08U,UCity,UHighway
Huracan Spyder 2WD,Lamborghini,2023,ICE,10.0,5.2,Automatic (AM-S7),45336,4062.5,15.0,0.0,0.0,17.9281,0.0,0.0,0.0,13.0465,16.0932,23.7934
Integra,Acura,2023,ICE,4.0,1.5,Automatic (AV-S7),45337,3406.25,33.0,0.0,0.0,37.295,0.0,0.0,0.0,29.8194,39.4,54.8
Integra A-Spec,Acura,2023,ICE,4.0,1.5,Automatic (AV-S7),45338,3406.25,32.0,0.0,0.0,36.0827,0.0,0.0,0.0,29.0149,38.1938,52.7869
Integra A-Spec,Acura,2023,ICE,4.0,1.5,Manual 6-spd,45339,3406.25,30.0,0.0,0.0,36.4458,0.0,0.0,0.0,26.0,35.4924,53.388
Crosstrek AWD,Subaru,2023,ICE,4.0,2.0,Automatic (AV-S8),45340,3701.0582010582007,30.0,0.0,0.0,33.423,0.0,0.0,0.0,27.542600000000004,36.0096,48.4315
Crosstrek AWD,Subaru,2023,ICE,4.0,2.0,Manual 6-spd,45341,3701.0582010582007,25.0,0.0,0.0,28.9563,0.0,0.0,0.0,22.3944,28.600000000000005,41.3
Crosstrek AWD,Subaru,2023,ICE,4.0,2.5,Automatic (AV-S8),45342,3701.0582010582007,29.0,0.0,0.0,33.6677,0.0,0.0,0.0,26.5526,34.5575,48.8286
Camaro,Chevrolet,2023,ICE,6.0,3.6,Manual 6-spd,45343,4130.952380952381,20.0,0.0,0.0,26.1079,0.0,0.0,0.0,16.2971,20.2568,36.8682
Camaro,Chevrolet,2023,ICE,4.0,2.0,Manual 6-spd,45344,4130.952380952381,22.0,0.0,0.0,28.2434,0.0,0.0,0.0,18.5376,23.2702,40.1825
Camaro,Chevrolet,2023,ICE,4.0,2.0,Automatic (S8),45345,4130.952380952381,25.0,0.0,0.0,30.0,0.0,0.0,0.0,21.5376,27.4,43.8
Camaro,Chevrolet,2023,ICE,8.0,6.2,Manual 6-spd,45346,4130.952380952381,16.0,0.0,0.0,19.6398,0.0,0.0,0.0,13.7554,16.9092,27.1235
Camaro,Chevrolet,2023,ICE,8.0,6.2,Automatic (S10),45347,4130.952380952381,16.0,0.0,0.0,20.9721,0.0,0.0,0.0,12.8476,15.3054,27.0108
Forte,Kia,2023,ICE,4.0,1.6,Manual 6-spd,45349,3257.3529411764707,26.0,0.0,0.0,31.1035,0.0,0.0,0.0,22.323,28.4996,44.7
Forte,Kia,2023,ICE,4.0,1.6,Automatic (AM-S7),45350,3257.3529411764707,30.0,0.0,0.0,35.4891,0.0,0.0,0.0,27.0633,34.2,49.3
Forte FE,Kia,2023,ICE,4.0,2.0,Automatic (variable gear ratios),45351,3257.3529411764707,34.0,0.0,0.0,41.3127,0.0,0.0,0.0,30.1512,39.9,61.6
Forte,Kia,2023,ICE,4.0,2.0,Automatic (variable gear ratios),45352,3257.3529411764707,32.0,0.0,0.0,38.9491,0.0,0.0,0.0,28.3675,37.2297,57.5754
Ghibli Trofeo,Maserati,2023,ICE,8.0,3.8,Automatic 8-spd,45353,4916.666666666667,16.0,0.0,0.0,19.7979,0.0,0.0,0.0,13.4906,16.5647,27.3566
Ghibli GT,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45354,4916.666666666667,20.0,0.0,0.0,24.9859,0.0,0.0,0.0,17.5439,21.9264,35.1464
Ghibli Modena RWD,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45355,4916.666666666667,20.0,0.0,0.0,24.9859,0.0,0.0,0.0,17.5439,21.9264,35.1464
K5,Kia,2023,ICE,4.0,1.6,Automatic (S8),45356,3781.25,31.0,0.0,0.0,37.0396,0.0,0.0,0.0,26.7305,34.8175,54.3744
K5 AWD,Kia,2023,ICE,4.0,1.6,Automatic (S8),45357,3781.25,28.0,0.0,0.0,33.2803,0.0,0.0,0.0,25.2729,32.7,48.2
K5,Kia,2023,ICE,4.0,2.5,Automatic (AM-S8),45358,3781.25,27.0,0.0,0.0,32.1794,0.0,0.0,0.0,23.7569,29.6835,46.0738
Quattroporte Trofeo,Maserati,2023,ICE,8.0,3.8,Automatic 8-spd,45359,5000.0,16.0,0.0,0.0,19.7979,0.0,0.0,0.0,13.4906,16.5647,27.3566
Quattroporte Modena RWD,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45360,5000.0,19.0,0.0,0.0,25.1847,0.0,0.0,0.0,16.2998,20.2604,33.7603
Quattroporte GT,Maserati,2023,ICE,6.0,3.0,Automatic 8-spd,45361,5000.0,19.0,0.0,0.0,25.1847,0.0,0.0,0.0,16.2998,20.2604,33.7603
HR-V AWD,Honda,2023,ICE,4.0,2.0,Automatic (variable gear ratios),45362,3562.5,27.0,0.0,0.0,30.1809,0.0,0.0,0.0,25.0341,32.3557,43.2328
HR-V FWD,Honda,2023,ICE,4.0,2.0,Automatic (variable gear ratios),45363,3562.5,28.0,0.0,0.0,31.7913,0.0,0.0,0.0,26.2388,34.1,45.8
XT5 Hearse FWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45364,4680.555555555556,21.0,0.0,0.0,22.6702,0.0,0.0,0.0,19.5853,24.7,34.2
XT5 Limo FWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45365,4680.555555555556,21.0,0.0,0.0,22.6702,0.0,0.0,0.0,19.5853,24.7,34.2
XT5 Hearse AWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45366,4680.555555555556,21.0,0.0,0.0,22.6702,0.0,0.0,0.0,19.5853,24.7,34.2
XT5 Limo AWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45367,4680.555555555556,21.0,0.0,0.0,22.6702,0.0,0.0,0.0,19.5853,24.7,34.2
Envision FWD,Buick,2023,ICE,4.0,2.0,Automatic (S9),45368,4125.0,26.0,0.0,0.0,30.7184,0.0,0.0,0.0,23.4751,30.1267,44.0865
XT4 FWD,Cadillac,2023,ICE,4.0,2.0,Automatic (S9),45369,4125.0,26.0,0.0,0.0,30.0,0.0,0.0,0.0,23.4751,30.1267,44.0865
XT5 FWD,Cadillac,2023,ICE,6.0,3.6,Automatic (S9),45370,4680.555555555556,21.0,0.0,0.0,25.7372,0.0,0.0,0.0,18.5604,23.3012,36.2978
