,Unnamed: 0,VehicleID_x,Year_x,MFRCode,Make,Model,Range,RangeHwy,atvType,UHighway,UCity,city08U,highway08U,VehicleID_y,Year_y,CurbWeight,embodied_emissions,usage_emissions,total_emissions
150,150,45930,2023,TYX,toyota,corolla hybrid awd,0,0.0,HEV,61.0,65.5,47.0,41.0,394,2023.0,3265.0,4956514.085846059,69229540.00000001,74186054.08584607
151,151,46132,2023,TYX,toyota,corolla hybrid awd,0,0.0,HEV,67.2,72.7,51.0,44.0,394,2023.0,3265.0,4956514.085846059,74695030.00000001,79651544.08584607
152,152,45933,2023,HYX,hyundai,elantra n,0,0.0,ICE,38.6752,23.6938,19.5079,29.6202,168,2023.0,3296.0,5517705.690565192,39715363.29300001,45233068.983565204
153,153,45934,2023,HYX,hyundai,elantra n,0,0.0,ICE,42.1,26.4,21.6676,30.7233,168,2023.0,3296.0,5517705.690565192,42216133.887,47733839.57756519
154,154,45949,2023,TYX,toyota,sienna awd,0,0.0,HEV,48.5008,47.0,34.5397,35.6386,403,2023.0,4860.0,7038716.525945435,55675275.29900001,62713991.82494544
155,155,45950,2023,HNX,honda,cr-v fwd,0,0.0,ICE,48.9932,36.6388,27.9688,33.7689,150,2023.0,3637.186046511628,6017011.769718795,49361858.091000006,55378869.8607188
156,156,45952,2023,HNX,honda,cr-v awd,0,0.0,ICE,45.7,35.0,26.8552,31.7289,149,2023.0,3640.0,6021129.828172724,46790511.387,52811641.21517272
157,157,45976,2023,MBX,mercedes-benz,metris (us postal long),0,0.0,ICE,34.5,24.1,19.1468,24.5623,301,2023.0,4317.0,7011880.238522431,35050939.865,42062820.103522435
158,158,45981,2023,VGA,audi,e-tron gt,238,0.0,EV,116.3,113.2,80.7116,82.9219,14,2023.0,5115.0,7778276.928444203,32311608.193766076,40089885.12221028
159,159,45982,2023,VGA,audi,rs e-tron gt,232,0.0,EV,115.3,111.7,79.4187,81.9783,12,2023.0,5170.0,7854449.798642526,32751663.651155476,40606113.449798
160,160,45999,2023,HYX,genesis,electrified g80,282,0.0,EV,132.1,154.8,108.36,92.47,132,2023.0,5037.0,7670249.948890216,26572860.877699316,34243110.82658953
161,161,46000,2023,HYX,hyundai,kona electric,258,0.0,EV,155.5,195.5,136.85,108.85,157,2023.0,3770.0,5915504.011776079,21796638.016194686,27712142.027970765
162,162,46001,2023,JLX,jaguar,i-pace ev400 (20 inch tires),246,0.0,EV,107.9,117.3,88.7855,81.6706,182,2023.0,4870.0,7438961.415742575,31190406.423707295,38629367.83944987
163,163,46002,2023,JLX,jaguar,i-pace ev400 (22 inch tires),217,0.0,EV,101.3,110.4,78.5551,72.08,183,2023.0,4870.0,7438961.415742575,35298942.89343331,42737904.309175886
164,164,46003,2023,KMX,kia,ev6 awd gt,206,0.0,EV,105.4,121.0,84.7,73.78,196,2023.0,4795.0,7335089.320017586,33639180.71348317,40974270.03350075
165,165,46006,2023,KMX,kia,ev6 long range rwd,310,0.0,EV,148.2,197.4,138.18,103.74,199,2023.0,4300.0,6649533.488232663,22200990.347597618,28850523.83583028
166,166,46007,2023,KMX,kia,ev6 standard range rwd,232,0.0,EV,145.6,197.2,138.04,101.92,200,2023.0,4017.0,6257589.447030374,22400880.794987433,28658470.242017806
167,167,46008,2023,KMX,kia,niro electric,253,0.0,EV,146.6,183.0,128.1,102.62,203,2023.0,3801.0,5958437.811342408,23203562.98815669,29162000.7994991
168,168,46009,2023,MBX,mercedes-benz,eqs 450 4matic,340,0.0,EV,147.0,141.2,106.6907,111.0732,287,2023.0,5812.0,8743594.93804843,24263754.386167545,33007349.324215975
169,169,46010,2023,MBX,mercedes-benz,eqs 450 4matic (suv),285,0.0,EV,108.1,111.6,80.2627,77.7455,288,2023.0,6314.0,9438845.498767683,33560607.93276884,42999453.43153652
170,170,46012,2023,MBX,mercedes-benz,eqs 580 4matic (suv),285,0.0,EV,107.4,115.0,82.6965,77.2313,292,2023.0,6396.0,9552412.323427005,33218476.938657343,42770889.26208435
171,171,46016,2023,NSX,nissan,leaf,149,0.0,EV,141.2,175.6,122.92,98.84,323,2023.0,3524.0,5574803.537798117,24136563.031719286,29711366.569517404
172,172,46018,2023,PRX,porsche,taycan 4 cross turismo,235,0.0,EV,115.0,114.3,80.01,80.5,353,2023.0,5146.0,7821210.7280105315,32974815.327285852,40796026.055296384
173,173,46019,2023,PRX,porsche,taycan 4s cross turismo,230,0.0,EV,112.7,112.4,78.68,78.89,354,2023.0,5146.0,7821210.7280105315,33595848.58357196,41417059.31158249
174,174,46020,2023,PRX,porsche,taycan 4s perf battery plus,235,0.0,EV,115.1,112.9,79.03,80.57,356,2023.0,5088.0,7740882.973983208,33140975.337917607,40881858.31190082
175,175,46022,2023,PRX,porsche,taycan gts,246,0.0,EV,117.5,119.0,83.3,82.25,357,2023.0,5077.0,7725648.399943544,32000987.483052913,39726635.882996455
176,176,46025,2023,PRX,porsche,taycan performance battery,208,0.0,EV,125.4,113.2,79.24,87.78,359,2023.0,4716.0,7225677.379187266,31537959.267865714,38763636.64705298
177,177,46026,2023,PRX,porsche,taycan turbo,238,0.0,EV,113.9,116.2,81.34,79.73,361,2023.0,5280.0,8006795.539039178,32903090.40596666,40909885.945005834
178,178,46027,2023,PRX,porsche,taycan turbo cross turismo,233,0.0,EV,113.6,117.4,82.18,79.52,362,2023.0,5351.0,8105127.789658834,32796086.166072134,40901213.95573097
179,179,46029,2023,PRX,porsche,taycan turbo s cross turismo,222,0.0,EV,106.2,109.8,76.86,74.34,363,2023.0,5324.0,8067733.835197837,35074352.585881814,43142086.42107965
180,180,46031,2023,FJX,subaru,solterra limited/touring awd,222,0.0,EV,136.1,163.4,114.38,95.27,388,2023.0,4505.0,6933450.549880966,25485842.206488382,32419292.75636935
181,181,46034,2023,VGA,volkswagen,id.4 awd pro s,255,0.0,EV,132.2,148.9,104.23,92.54,428,2023.0,4824.0,7375253.197031248,27067363.531544775,34442616.72857602
182,182,46036,2023,VGA,volkswagen,id.4 pro s,275,0.0,EV,140.4,164.5,115.15,98.28,429,2023.0,4636.0,7114880.477080611,25003912.16773962,32118792.64482023
183,183,46037,2023,VGA,volkswagen,id.4 s,209,0.0,EV,140.9,164.5,115.15,98.63,430,2023.0,4436.0,6837888.221813976,24958531.519335918,31796419.741149895
184,184,46042,2023,TYX,lexus,rc 350 awd,0,0.0,ICE,36.7,24.2,19.22,25.9987,230,2023.0,3965.0,6496748.562831002,36354673.096999995,42851421.659830995
185,185,46044,2023,TYX,lexus,lc 500,0,0.0,ICE,34.51,19.3,15.5764,24.5689,225,2023.0,4355.0,7067491.044420938,32511388.055000003,39578879.09942094
